Ontology transportation.incoherent.xml
1157/2380 tiên đề logic
Số khái niệm không thoả được: 62
Số khái niệm: 445
Số tiên đề tri thức nền ban đầu: 1015
OpenTopRailcar ⊑ Ambulance: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
Text ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
TractorTrailer ⊑ Ambulance: NA_ODP (k=5, nAx=1122, nAxPerStep=21.4, nDeltaODP = 8)
CrewList ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
DirectingTraffic ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
ShipHold ⊑ Ambulance: NA_ODP (k=6, nAx=1123, nAxPerStep=18.0, nDeltaODP = 7)
Organization ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
LightFixture ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
RefrigeratedCompartment ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
ElectricalSignalling ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
AtmosphericRegion ⊑ Ambulance: NA_ODP (k=5, nAx=1126, nAxPerStep=22.2, nDeltaODP = 8)
AirTrafficControlTower ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
Trip ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
FishingBoat ⊑ Ambulance: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
AirportClassification ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
CraneShip ⊑ Ambulance: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
Device ⊑ Ambulance: NA_ODP (k=4, nAx=1122, nAxPerStep=26.8, nDeltaODP = 8)
MotorizedRailwayCar ⊑ Ambulance: NA_ODP (k=5, nAx=1122, nAxPerStep=21.4, nDeltaODP = 8)
Fuel ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
AirTrafficControlRadarRoom ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
MultipleTrackRailway ⊑ Ambulance: NA_ODP (k=12, nAx=1141, nAxPerStep=10.5, nDeltaODP = 7)
WaterTransportationSystem ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
Motorcycle ⊑ Ambulance: NA_ODP (k=5, nAx=1122, nAxPerStep=21.4, nDeltaODP = 8)
AnimalPoweredDevice ⊑ Ambulance: NA_ODP (k=4, nAx=1122, nAxPerStep=26.8, nDeltaODP = 8)
PassengerAndCargoShip ⊑ Ambulance: Accepted (k=4, nAx=1115, nAxPerStep=25.0)
CertificateOfRegistry ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
CognitiveAgent ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
SeaPort ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
Containerization ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
Flatcar ⊑ Ambulance: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
OrganicCompound ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
MilitaryWatercraft ⊑ Ambulance: NA_ODP (k=10, nAx=1136, nAxPerStep=12.1, nDeltaODP = 98)
Runway ⊑ Ambulance: NA_ODP (k=11, nAx=1141, nAxPerStep=11.5, nDeltaODP = 7)
Waterway ⊑ Ambulance: NA_ODP (k=11, nAx=1141, nAxPerStep=11.5, nDeltaODP = 7)
AirportByRunwaySurface ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
ContainerTerminal ⊑ Ambulance: NA_ODP (k=8, nAx=1141, nAxPerStep=15.8, nDeltaODP = 7)
Street ⊑ Ambulance: NA_ODP (k=4, nAx=1121, nAxPerStep=26.5, nDeltaODP = 8)
PetroleumProduct ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
Axle ⊑ Ambulance: NA_ODP (k=4, nAx=1122, nAxPerStep=26.8, nDeltaODP = 8)
OreCarrierShip ⊑ Ambulance: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
SetOrClass ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
ElectronicSignalling ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
ShipBerthing ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
LiquefiedPetroleumGas ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
Dredger ⊑ Ambulance: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
TransportationAuthority ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
ElectricMotor ⊑ Ambulance: NA_ODP (k=5, nAx=1122, nAxPerStep=21.4, nDeltaODP = 8)
Streetcar ⊑ Ambulance: Rejected (k=3, nAx=1113, nAxPerStep=32.7)
CargoHandling ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
GeneralCargoShip ⊑ Ambulance: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
ElectrifiedRailwayCar ⊑ Ambulance: Rejected (k=5, nAx=1115, nAxPerStep=20.0)
VolumeMeasure ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
Hole ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
Expressway ⊑ Ambulance: NA_ODP (k=4, nAx=1121, nAxPerStep=26.5, nDeltaODP = 8)
GliderAirplane ⊑ Ambulance: NA_ODP (k=10, nAx=1136, nAxPerStep=12.1, nDeltaODP = 98)
IntentionalProcess ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
TrainAssembly ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
PartialContainerShip ⊑ Ambulance: NA_ODP (k=13, nAx=1136, nAxPerStep=9.3, nDeltaODP = 98)
RegulatoryProcess ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
LiquefiedGasAndChemicalTankerShip ⊑ Ambulance: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
EmergencyVehicle ⊑ Ambulance: NA_ODP (k=4, nAx=1121, nAxPerStep=26.5, nDeltaODP = 8)
TrafficSignal ⊑ Ambulance: NA_ODP (k=4, nAx=1122, nAxPerStep=26.8, nDeltaODP = 8)
Railway ⊑ Ambulance: NA_ODP (k=11, nAx=1141, nAxPerStep=11.5, nDeltaODP = 7)
ShipDeck ⊑ Ambulance: NA_ODP (k=5, nAx=1123, nAxPerStep=21.6, nDeltaODP = 7)
ElectricDevice ⊑ Ambulance: NA_ODP (k=5, nAx=1122, nAxPerStep=21.4, nDeltaODP = 8)
PropellerAirplane ⊑ Ambulance: Rejected (k=3, nAx=1113, nAxPerStep=32.7)
LandArea ⊑ Ambulance: NA_ODP (k=7, nAx=1128, nAxPerStep=16.1, nDeltaODP = 8)
EmergencyRoadVehicle ⊑ Ambulance: NA_ODP (k=4, nAx=1121, nAxPerStep=26.5, nDeltaODP = 8)
Battery ⊑ Ambulance: NA_ODP (k=4, nAx=1122, nAxPerStep=26.8, nDeltaODP = 8)
RailroadTrack ⊑ Ambulance: NA_ODP (k=5, nAx=1128, nAxPerStep=22.6, nDeltaODP = 7)
BusinessRailcar ⊑ Ambulance: NA_ODP (k=15, nAx=1157, nAxPerStep=9.5, nDeltaODP = 98)
Container ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
Seavan ⊑ Ambulance: NA_ODP (k=8, nAx=1136, nAxPerStep=15.1, nDeltaODP = 98)
LandVehicle ⊑ Ambulance: NA_ODP (k=10, nAx=1136, nAxPerStep=12.1, nDeltaODP = 98)
TransitTerminal ⊑ Ambulance: NA_ODP (k=8, nAx=1141, nAxPerStep=15.8, nDeltaODP = 7)
CubicFoot ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
AirTransitway ⊑ Ambulance: NA_ODP (k=11, nAx=1141, nAxPerStep=11.5, nDeltaODP = 7)
Navigation ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
Minivan ⊑ Ambulance: Rejected (k=3, nAx=1113, nAxPerStep=32.7)
ShipCabin ⊑ Ambulance: Accepted (k=4, nAx=1115, nAxPerStep=25.0)
OffshoreSupportShip ⊑ Ambulance: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
Region ⊑ Ambulance: NA_ODP (k=7, nAx=1141, nAxPerStep=18.0, nDeltaODP = 7)
Bridge ⊑ Ambulance: NA_ODP (k=11, nAx=1141, nAxPerStep=11.5, nDeltaODP = 7)
Obligation ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
LengthMeasure ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
VehicleWheel ⊑ Ambulance: NA_ODP (k=4, nAx=1122, nAxPerStep=26.8, nDeltaODP = 8)
TrafficControlProcess ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
MajorAirCarrier ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
AirRoute ⊑ Ambulance: Accepted (k=5, nAx=1116, nAxPerStep=20.2)
SingleValuedRelation ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
Gasoline ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
CombinationCarrierShip ⊑ Ambulance: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
Tunnel ⊑ Ambulance: NA_ODP (k=8, nAx=1141, nAxPerStep=15.8, nDeltaODP = 7)
Physical ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
TextureAttribute ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
DeepwaterPort ⊑ Ambulance: NA_ODP (k=8, nAx=1141, nAxPerStep=15.8, nDeltaODP = 7)
RailcarCarrierShip ⊑ Ambulance: NA_ODP (k=13, nAx=1136, nAxPerStep=9.3, nDeltaODP = 98)
FreightCar ⊑ Ambulance: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
ShipBerth ⊑ Ambulance: NA_ODP (k=5, nAx=1123, nAxPerStep=21.6, nDeltaODP = 8)
RollingStock ⊑ Ambulance: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
Motion ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
NavigationBuoy ⊑ Ambulance: NA_ODP (k=4, nAx=1122, nAxPerStep=26.8, nDeltaODP = 8)
TankCar ⊑ Ambulance: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
Coal ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
Boxcar ⊑ Ambulance: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
RailroadBridge ⊑ Ambulance: Accepted (k=4, nAx=1115, nAxPerStep=25.0)
RadioNavigationBeacon ⊑ Ambulance: NA_ODP (k=6, nAx=1123, nAxPerStep=18.0, nDeltaODP = 8)
DeviceStateAttribute ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
MerchantMarine ⊑ Ambulance: NA_ODP (k=4, nAx=1121, nAxPerStep=26.5, nDeltaODP = 8)
Building ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
RailroadCompany ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
CommonCarrier ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
AidToNavigation ⊑ Ambulance: NA_ODP (k=4, nAx=1122, nAxPerStep=26.8, nDeltaODP = 8)
Cabotage ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
CarDistributionSystem ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
PortableBridge ⊑ Ambulance: NA_ODP (k=5, nAx=1122, nAxPerStep=21.4, nDeltaODP = 8)
CanalStructure ⊑ Ambulance: NA_ODP (k=5, nAx=1128, nAxPerStep=22.6, nDeltaODP = 7)
AirTrafficControlEnRouteCenter ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
CableShip ⊑ Ambulance: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
Canoe ⊑ Ambulance: NA_ODP (k=10, nAx=1136, nAxPerStep=12.1, nDeltaODP = 98)
FishCarrierShip ⊑ Ambulance: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
Aircraft ⊑ Ambulance: NA_ODP (k=10, nAx=1136, nAxPerStep=12.1, nDeltaODP = 98)
HangarBay ⊑ Ambulance: NA_ODP (k=6, nAx=1123, nAxPerStep=18.0, nDeltaODP = 7)
TransitShelter ⊑ Ambulance: NA_ODP (k=10, nAx=1141, nAxPerStep=12.6, nDeltaODP = 6)
SelfPoweredRoadVehicle ⊑ Ambulance: NA_ODP (k=5, nAx=1122, nAxPerStep=21.4, nDeltaODP = 8)
PassportControl ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
CabCar ⊑ Ambulance: NA_ODP (k=5, nAx=1122, nAxPerStep=21.4, nDeltaODP = 8)
FireEngine ⊑ Ambulance: NA_ODP (k=4, nAx=1121, nAxPerStep=26.5, nDeltaODP = 8)
Kayak ⊑ Ambulance: NA_ODP (k=10, nAx=1136, nAxPerStep=12.1, nDeltaODP = 98)
FishingVessel ⊑ Ambulance: NA_ODP (k=10, nAx=1136, nAxPerStep=12.1, nDeltaODP = 98)
RocketEngine ⊑ Ambulance: NA_ODP (k=4, nAx=1122, nAxPerStep=26.8, nDeltaODP = 8)
TransitwayJunction ⊑ Ambulance: NA_ODP (k=10, nAx=1141, nAxPerStep=12.6, nDeltaODP = 7)
PlaningHullWatercraft ⊑ Ambulance: NA_ODP (k=10, nAx=1136, nAxPerStep=12.1, nDeltaODP = 98)
Attaching ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
Certificate ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
FlagOfConvenienceRegister ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
StandardGaugeRailway ⊑ Ambulance: NA_ODP (k=12, nAx=1141, nAxPerStep=10.5, nDeltaODP = 7)
ResearchShip ⊑ Ambulance: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
Passport ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
HopperDredger ⊑ Ambulance: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
Train ⊑ Ambulance: NA_ODP (k=5, nAx=1122, nAxPerStep=21.4, nDeltaODP = 8)
VehicleRegistration ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
ShipHull ⊑ Ambulance: NA_ODP (k=5, nAx=1123, nAxPerStep=21.6, nDeltaODP = 7)
CruiseShip ⊑ Ambulance: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
Crane ⊑ Ambulance: NA_ODP (k=8, nAx=1136, nAxPerStep=15.1, nDeltaODP = 98)
AnimalPoweredVehicle ⊑ Ambulance: NA_ODP (k=10, nAx=1136, nAxPerStep=12.1, nDeltaODP = 98)
VehicleClassForFHWA ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
LandTransitway ⊑ Ambulance: NA_ODP (k=11, nAx=1141, nAxPerStep=11.5, nDeltaODP = 7)
EtiologicAgent ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
TrackGauge ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
CommercialShipping ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
RegistryTon ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
MaterialHandlingEquipment ⊑ Ambulance: NA_ODP (k=4, nAx=1122, nAxPerStep=26.8, nDeltaODP = 8)
HalfHeightContainer ⊑ Ambulance: NA_ODP (k=8, nAx=1136, nAxPerStep=15.1, nDeltaODP = 98)
CementCarrierShip ⊑ Ambulance: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
Cycle-TransportationDevice ⊑ Ambulance: NA_ODP (k=10, nAx=1136, nAxPerStep=12.1, nDeltaODP = 98)
PetroleumPipeline ⊑ Ambulance: NA_ODP (k=9, nAx=1141, nAxPerStep=14.0, nDeltaODP = 7)
GreatLakesShip ⊑ Ambulance: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
DeepDraftWaterArea ⊑ Ambulance: NA_ODP (k=5, nAx=1123, nAxPerStep=21.6, nDeltaODP = 8)
MetricTon ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
CargoManifest ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
GovernmentOrganization ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
PersonalWatercraft ⊑ Ambulance: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 7)
Address ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
ContentBearingObject ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
BillOfLading ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
ShipAgent ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
CommercialAirport ⊑ Ambulance: NA_ODP (k=4, nAx=1121, nAxPerStep=26.5, nDeltaODP = 8)
LongTon ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
BulkCargo ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
PositionalAttribute ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
Tugboat ⊑ Ambulance: NA_ODP (k=5, nAx=1122, nAxPerStep=21.4, nDeltaODP = 8)
Communication ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
PortFacility ⊑ Ambulance: NA_ODP (k=8, nAx=1141, nAxPerStep=15.8, nDeltaODP = 7)
SleeperRailcar ⊑ Ambulance: NA_ODP (k=15, nAx=1157, nAxPerStep=9.5, nDeltaODP = 98)
SymbolicString ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
Ship ⊑ Ambulance: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
HumanHabitationArtifact ⊑ Ambulance: NA_ODP (k=10, nAx=1141, nAxPerStep=12.6, nDeltaODP = 6)
CargoContainer ⊑ Ambulance: NA_ODP (k=8, nAx=1136, nAxPerStep=15.1, nDeltaODP = 98)
UnpavedRunway ⊑ Ambulance: NA_ODP (k=12, nAx=1141, nAxPerStep=10.5, nDeltaODP = 7)
OceanLiner ⊑ Ambulance: Accepted (k=3, nAx=1115, nAxPerStep=33.3)
Position ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
PortCity ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
City ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
Drawbridge ⊑ Ambulance: NA_ODP (k=12, nAx=1142, nAxPerStep=10.6, nDeltaODP = 7)
TransitRoute ⊑ Ambulance: NA_ODP (k=10, nAx=1141, nAxPerStep=12.6, nDeltaODP = 7)
PusherTug ⊑ Ambulance: NA_ODP (k=4, nAx=1121, nAxPerStep=26.5, nDeltaODP = 8)
ChemicalAndPetroleumTankerShip ⊑ Ambulance: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
Bicycle ⊑ Ambulance: NA_ODP (k=9, nAx=1136, nAxPerStep=13.4, nDeltaODP = 98)
DualGaugeRailway ⊑ Ambulance: NA_ODP (k=12, nAx=1141, nAxPerStep=10.5, nDeltaODP = 7)
CommercialAgent ⊑ Ambulance: NA_ODP (k=4, nAx=1121, nAxPerStep=26.5, nDeltaODP = 8)
CanalSystem ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
Engine ⊑ Ambulance: NA_ODP (k=4, nAx=1122, nAxPerStep=26.8, nDeltaODP = 8)
Collection ⊑ Ambulance: NA_ODP (k=4, nAx=1121, nAxPerStep=26.5, nDeltaODP = 8)
PrivateRailcar ⊑ Ambulance: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
HeadEndCar ⊑ Ambulance: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
ElectrifiedRailway ⊑ Ambulance: NA_ODP (k=12, nAx=1141, nAxPerStep=10.5, nDeltaODP = 7)
RoadVehicle ⊑ Ambulance: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
InternationalOrganization ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
CIAAirportLengthClassification ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
MassMeasure ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
Watercraft ⊑ Ambulance: NA_ODP (k=10, nAx=1136, nAxPerStep=12.1, nDeltaODP = 98)
NarrowGaugeRailway ⊑ Ambulance: NA_ODP (k=12, nAx=1141, nAxPerStep=10.5, nDeltaODP = 7)
DeepDraftPortCity ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
PavedRunway ⊑ Ambulance: NA_ODP (k=12, nAx=1141, nAxPerStep=10.5, nDeltaODP = 7)
DieselFuel ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
Helicopter ⊑ Ambulance: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 7)
PetroleumProductPipeline ⊑ Ambulance: NA_ODP (k=9, nAx=1141, nAxPerStep=14.0, nDeltaODP = 7)
FlightSchedule ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
FixedBridge ⊑ Ambulance: NA_ODP (k=12, nAx=1141, nAxPerStep=10.5, nDeltaODP = 7)
TurbojetEngine ⊑ Ambulance: NA_ODP (k=4, nAx=1122, nAxPerStep=26.8, nDeltaODP = 8)
Sailboat ⊑ Ambulance: NA_ODP (k=10, nAx=1136, nAxPerStep=12.1, nDeltaODP = 98)
