Ontology transportation.incoherent.xml
1157/2380 tiên đề logic
Số khái niệm không thoả được: 62
Số khái niệm: 445
Số tiên đề tri thức nền ban đầu: 1015
Ambulance ⊑ OpenTopRailcar: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ SingleValuedRelation: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Gasoline: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ CombinationCarrierShip: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Tunnel: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Physical: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ TextureAttribute: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ DeepwaterPort: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ RailcarCarrierShip: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ FreightCar: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ ShipBerth: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ RollingStock: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Motion: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ NavigationBuoy: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ TankCar: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Coal: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Boxcar: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ RailroadBridge: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ RadioNavigationBeacon: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ DeviceStateAttribute: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ MerchantMarine: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Building: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ RailroadCompany: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ CommonCarrier: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ AidToNavigation: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Cabotage: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ CarDistributionSystem: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ PortableBridge: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ CanalStructure: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ AirTrafficControlEnRouteCenter: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ CableShip: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Canoe: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ FishCarrierShip: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Aircraft: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ HangarBay: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ TransitShelter: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ SelfPoweredRoadVehicle: Accepted (k=4, nAx=1113, nAxPerStep=24.5)
Ambulance ⊑ PassportControl: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ CabCar: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ FireEngine: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Kayak: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ FishingVessel: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ RocketEngine: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ TransitwayJunction: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ PlaningHullWatercraft: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Attaching: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Certificate: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ FlagOfConvenienceRegister: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ StandardGaugeRailway: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ ResearchShip: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Passport: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ HopperDredger: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Train: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ VehicleRegistration: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ ShipHull: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ CruiseShip: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Crane: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ AnimalPoweredVehicle: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ VehicleClassForFHWA: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ LandTransitway: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ EtiologicAgent: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ TrackGauge: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ CommercialShipping: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ RegistryTon: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ MaterialHandlingEquipment: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ HalfHeightContainer: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ CementCarrierShip: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Cycle-TransportationDevice: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ PetroleumPipeline: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ GreatLakesShip: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ DeepDraftWaterArea: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ MetricTon: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ CargoManifest: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ GovernmentOrganization: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ PersonalWatercraft: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Address: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ ContentBearingObject: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ BillOfLading: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ ShipAgent: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ CommercialAirport: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ LongTon: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ BulkCargo: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ PositionalAttribute: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Tugboat: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Communication: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ PortFacility: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ SleeperRailcar: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ SymbolicString: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Ship: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ HumanHabitationArtifact: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ CargoContainer: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ UnpavedRunway: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ OceanLiner: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Position: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ PortCity: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ City: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Drawbridge: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ TransitRoute: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ PusherTug: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ ChemicalAndPetroleumTankerShip: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Bicycle: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ DualGaugeRailway: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ CommercialAgent: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ CanalSystem: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Engine: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Collection: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ PrivateRailcar: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ HeadEndCar: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ ElectrifiedRailway: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ RoadVehicle: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ InternationalOrganization: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ CIAAirportLengthClassification: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ MassMeasure: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Watercraft: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ NarrowGaugeRailway: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ DeepDraftPortCity: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ PavedRunway: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ DieselFuel: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Helicopter: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ PetroleumProductPipeline: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ FlightSchedule: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ FixedBridge: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ TurbojetEngine: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
